series,source_run,point_origin,tp,ep,concurrency,kv_offloading,p90_interactivity_tokens_per_s_user,throughput_per_gpu_tokens_per_s,duration_seconds,successful_requests,pareto_frontier,artifact_source
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,12,none,145.60570,29755.23348,3612.62534,2062,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc12_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc12_b200-dgxc_07.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,20,dram,139.72065,54452.28321,3616.58265,3576,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc20_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_b200-dgxc_00.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,32,none,127.11038,39883.60271,3606.89909,5280,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc32_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc32_b200-dgxc_09.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,22,dram,126.76482,58633.22997,3601.15114,3856,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc22_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc22_b200-dgxc_06.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,24,dram,116.40457,62607.18057,3617.77816,4119,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc24_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc24_b200-dgxc_02.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,14,none,98.89943,34834.24999,3606.39240,2544,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc14_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc14_b200-dgxc_04.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,28,dram,88.24231,69118.06643,3628.07028,4576,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc28_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc28_b200-dgxc_01.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,32,dram,84.91284,71321.81152,3605.12448,4763,true,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc32_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc32_b200-dgxc_02.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,40,none,76.90802,44197.82056,3629.00176,6277,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc40_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc40_b200-dgxc_07.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,4,none,37.15421,11264.78728,3592.66242,881,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc4_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc4_b200-dgxc_04.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,1,none,18.20373,2066.93799,3523.56580,364,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc1_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc1_b200-dgxc_09.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,2,1,1,none,16.58968,4104.10473,3540.28392,363,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp2_conc1_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc1_b200-dgxc_05.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,48,none,14.86204,38817.80469,3629.32799,5830,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc48_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc48_b200-dgxc_02.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,66,dram,14.62358,54935.67576,3629.95985,9086,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc66_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc66_b200-dgxc_00.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,68,dram,14.61471,54095.05510,3629.87344,9006,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc68_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc68_b200-dgxc_03.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,72,dram,14.46693,51142.90910,3629.22308,8532,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc72_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc72_b200-dgxc_09.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,64,dram,14.43645,55429.08140,3628.94055,9072,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc64_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc64_b200-dgxc_01.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,70,dram,13.54152,43843.90731,3629.35509,7208,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc70_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc70_b200-dgxc_07.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,56,none,9.05005,37489.18236,3628.78028,5827,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc56_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc56_b200-dgxc_01.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,64,none,5.01411,14383.55136,3628.93620,2290,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc64_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc64_b200-dgxc_05.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,62,none,4.72177,13973.13310,3628.57395,2217,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc62_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc62_b200-dgxc_04.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,60,none,4.43925,13380.45447,3627.79714,2143,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc60_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc60_b200-dgxc_03.json
B200,InferenceX 30758866378 attempt 1,runner aggregate,4,1,76,dram,1.59715,21215.21761,20.23197,29,false,/Users/anluo/code/qwen35-mi355x-agentx/runner_artifacts/b200_30758866378_attempt1/qwen3.5_tp4_conc76_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc76_b200-dgxc_03.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,1,none,244.43371,3642.93817,3516.42614,557,true,/tmp/qwen35-current332.9sIbwi/9729979230/qwen3.5_tp4_conc1_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc1_mi355x-amds_02_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,1,none,236.14097,7154.29007,3581.09250,557,true,/tmp/qwen35-current332.9sIbwi/9731935745/qwen3.5_tp2_conc1_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc1_mi355x-amds_01_recipe-ecf94fe385859291.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,4,none,205.46843,5867.13495,3612.07534,966,false,/tmp/qwen35-current332.9sIbwi/9731592747/qwen3.5_tp4_conc4_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc4_mi355x-amds_04_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,4,none,181.62544,11268.78138,3600.55743,917,true,/tmp/qwen35-current332.9sIbwi/9730199109/qwen3.5_tp2_conc4_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc4_mi355x-amds_05_recipe-ecf94fe385859291.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,8,none,176.37134,9824.78163,3618.46999,1456,false,/tmp/qwen35-current332.9sIbwi/9732221026/qwen3.5_tp4_conc8_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc8_mi355x-amds_06_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,8,none,153.78368,19504.46869,3607.95750,1442,true,/tmp/qwen35-current332.9sIbwi/9731778425/qwen3.5_tp2_conc8_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc8_mi355x-amds_02_recipe-ecf94fe385859291.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,12,none,136.97030,14516.69614,3609.42965,1996,false,/tmp/qwen35-current332.9sIbwi/9732576353/qwen3.5_tp4_conc12_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc12_mi355x-amds_04_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,16,none,110.10623,20676.00470,3604.39827,2804,true,/tmp/qwen35-current332.9sIbwi/9732555617/qwen3.5_tp4_conc16_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc16_mi355x-amds_03_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,12,none,100.76418,29878.60324,3619.18322,2173,true,/tmp/qwen35-current332.9sIbwi/9730833254/qwen3.5_tp2_conc12_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc12_mi355x-amds_02_recipe-ecf94fe385859291.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,20,none,100.45118,25642.18390,3613.14277,3412,false,/tmp/qwen35-current332.9sIbwi/9731065526/qwen3.5_tp4_conc20_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_mi355x-amds_05_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,24,none,82.68578,29551.28624,3603.58659,3929,false,/tmp/qwen35-current332.9sIbwi/9731460538/qwen3.5_tp4_conc24_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc24_mi355x-amds_07_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,16,none,76.69876,38336.32269,3614.89300,2640,true,/tmp/qwen35-current332.9sIbwi/9731586371/qwen3.5_tp2_conc16_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc16_mi355x-amds_03_recipe-ecf94fe385859291.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,20,dram,73.50175,46237.93394,3609.19891,3146,true,/tmp/qwen35-current332.9sIbwi/9731360340/qwen3.5_tp2_conc20_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_mi355x-amds_06_recipe-7e1ac8191faabf0f.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,28,none,71.24564,32713.33415,3626.98793,4375,false,/tmp/qwen35-current332.9sIbwi/9729997404/qwen3.5_tp4_conc28_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc28_mi355x-amds_01_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,20,none,66.96116,44427.45494,3615.59022,3023,false,/tmp/qwen35-current332.9sIbwi/9730039068/qwen3.5_tp2_conc20_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_mi355x-amds_06_recipe-ecf94fe385859291.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,32,none,56.64297,33747.79877,3624.52398,4490,false,/tmp/qwen35-current332.9sIbwi/9730627973/qwen3.5_tp4_conc32_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc32_mi355x-amds_03_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,40,none,53.02596,37708.72768,3622.55846,5185,false,/tmp/qwen35-current332.9sIbwi/9730424602/qwen3.5_tp4_conc40_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc40_mi355x-amds_04_recipe-9725ec21771f4fe2.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,24,dram,51.54155,53830.02915,3603.87978,3592,true,/tmp/qwen35-current332.9sIbwi/9732373714/qwen3.5_tp2_conc24_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc24_mi355x-amds_05_recipe-7e1ac8191faabf0f.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,40,dram,46.88541,36678.48028,3629.86805,5038,false,/tmp/qwen35-current332.9sIbwi/9732405962/qwen3.5_tp4_conc40_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc40_mi355x-amds_07_recipe-d616ac68e406c7cc.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,28,dram,41.66606,56457.73823,3619.83642,3820,true,/tmp/qwen35-current332.9sIbwi/9730604202/qwen3.5_tp2_conc28_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc28_mi355x-amds_07_recipe-7e1ac8191faabf0f.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,48,dram,37.76464,38221.64232,3628.17521,5740,false,/tmp/qwen35-current332.9sIbwi/9732055326/qwen3.5_tp4_conc48_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc48_mi355x-amds_00_recipe-d616ac68e406c7cc.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,2,1,32,dram,35.00597,59050.50029,3627.33223,3946,true,/tmp/qwen35-current332.9sIbwi/9731105532/qwen3.5_tp2_conc32_kvdram-hicache_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc32_mi355x-amds_00_recipe-7e1ac8191faabf0f.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,56,dram,29.97600,38885.24495,3629.10089,6295,false,/tmp/qwen35-current332.9sIbwi/9730938981/qwen3.5_tp4_conc56_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc56_mi355x-amds_01_recipe-d616ac68e406c7cc.json
Current MI355X,InferenceX 33298482346 attempt 1,runner aggregate,4,1,64,dram,23.58250,39877.19566,3628.18708,6709,false,/tmp/qwen35-current332.9sIbwi/9730089695/qwen3.5_tp4_conc64_kvdram-hicache_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc64_mi355x-amds_00_recipe-d616ac68e406c7cc.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,1,none,244.43371,3642.93817,3516.42614,557,true,/tmp/qwen35-current332.9sIbwi/9729979230/qwen3.5_tp4_conc1_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc1_mi355x-amds_02_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,1,none,236.14097,7154.29007,3581.09250,557,true,/tmp/qwen35-current332.9sIbwi/9731935745/qwen3.5_tp2_conc1_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc1_mi355x-amds_01_recipe-ecf94fe385859291.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,4,none,205.46843,5867.13495,3612.07534,966,false,/tmp/qwen35-current332.9sIbwi/9731592747/qwen3.5_tp4_conc4_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc4_mi355x-amds_04_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,4,none,181.62544,11268.78138,3600.55743,917,true,/tmp/qwen35-current332.9sIbwi/9730199109/qwen3.5_tp2_conc4_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc4_mi355x-amds_05_recipe-ecf94fe385859291.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,8,none,176.37134,9824.78163,3618.46999,1456,false,/tmp/qwen35-current332.9sIbwi/9732221026/qwen3.5_tp4_conc8_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc8_mi355x-amds_06_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,8,none,153.78368,19504.46869,3607.95750,1442,true,/tmp/qwen35-current332.9sIbwi/9731778425/qwen3.5_tp2_conc8_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc8_mi355x-amds_02_recipe-ecf94fe385859291.json
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,1,12,none,147.60291,26579.15484,3623.63864,1927,true,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_pr2737_tp2ep1_c12_exact_maxrun4_graph24_3600s_confirm_20260901T001648-0500
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,12,none,136.97030,14516.69614,3609.42965,1996,false,/tmp/qwen35-current332.9sIbwi/9732576353/qwen3.5_tp4_conc12_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc12_mi355x-amds_04_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,16,none,110.10623,20676.00470,3604.39827,2804,false,/tmp/qwen35-current332.9sIbwi/9732555617/qwen3.5_tp4_conc16_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc16_mi355x-amds_03_recipe-9725ec21771f4fe2.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,2,1,12,none,100.76418,29878.60324,3619.18322,2173,true,/tmp/qwen35-current332.9sIbwi/9730833254/qwen3.5_tp2_conc12_kvnone_spec-mtp_fp4_sglang_tp2-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc12_mi355x-amds_02_recipe-ecf94fe385859291.json
Best-known MI355X,InferenceX 33298482346 attempt 1,inherited from current runner,4,1,20,none,100.45118,25642.18390,3613.14277,3412,false,/tmp/qwen35-current332.9sIbwi/9731065526/qwen3.5_tp4_conc20_kvnone_spec-mtp_fp4_sglang_tp4-pp1-dcp1-pcp1-ep1-dpafalse_disagg-false_spec-mtp_conc20_mi355x-amds_05_recipe-9725ec21771f4fe2.json
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,20,dram,86.64070,43292.13539,917.86582,866,true,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c20_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260827T204111-0700
Best-known MI355X,Accepted MI355X sustained optimization,accepted optimized result,2,2,16,dram,82.85874,36905.27889,913.74848,663,false,/shared/data/R7N/andy_luo_3v7/qwen35-agentx-results/qwen35_tp2ep2_c16_pr36330_pr36758asmctx_tokenmeta_p64_prefill8k_maxrun12_pd32_mintok8192_aitercarlegacymax253952_nobubble_customar_900s_20260829T002509-0500
